epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.35031,0.97227,2.5268,1.53252,0.00381,1,0.02397,0.01179,0.66881,2.89519,1.4517,8e-05,8e-05,8e-05
2,10.3067,0.90868,2.3578,1.52034,0.00333,0.875,0.7199,0.47635,0.47137,2.81545,1.07848,0.000176436,0.000176436,0.000176436
3,13.5541,0.57901,1.44708,1.25662,0.00381,1,0.87849,0.77209,0.68029,2.74017,1.33722,0.000268912,0.000268912,0.000268912
4,16.6423,0.54819,0.97554,1.21936,0.00381,1,0.87874,0.83104,0.50979,2.5151,1.15495,0.000357428,0.000357428,0.000357428
5,19.6199,0.51468,0.91158,1.20319,0.97856,0.875,0.88579,0.85486,0.60423,1.84536,1.18218,0.000441984,0.000441984,0.000441984
6,22.7616,0.41069,0.77518,1.10577,0.94231,0.875,0.88233,0.68041,0.94625,2.41776,1.52687,0.00052258,0.00052258,0.00052258
7,25.7641,0.43313,0.82658,1.1052,0.98882,0.875,0.87572,0.66968,0.88707,2.05414,1.51151,0.000599216,0.000599216,0.000599216
8,29.169,0.48165,0.83566,1.15252,0.98929,0.875,0.87592,0.72865,0.93418,1.90597,1.68596,0.000671892,0.000671892,0.000671892
9,32.2623,0.47859,0.80047,1.1449,0.98956,0.875,0.88643,0.85907,0.67519,1.85515,1.39412,0.000740608,0.000740608,0.000740608
10,35.4137,0.47506,0.83566,1.15321,0.98893,0.875,0.87864,0.75474,0.69744,1.60299,1.80646,0.000805364,0.000805364,0.000805364
11,38.3197,0.48341,0.85089,1.14258,0.99061,0.875,0.8761,0.7686,0.84984,1.62561,2.15342,0.00086616,0.00086616,0.00086616
12,41.1201,0.45352,0.77405,1.11335,0.99225,0.875,0.87628,0.80733,0.62307,1.1756,1.50959,0.000922996,0.000922996,0.000922996
13,44.015,0.44572,0.70039,1.0787,0.99209,0.875,0.87663,0.77146,0.81708,1.30222,1.85772,0.000975872,0.000975872,0.000975872
14,47.0337,0.45625,0.71723,1.13489,0.9885,0.875,0.8799,0.76386,0.80147,1.06217,2.45947,0.00102479,0.00102479,0.00102479
15,50.3519,0.4372,0.67797,1.1154,0.99279,0.875,0.885,0.77251,0.59421,0.83248,1.38152,0.00106974,0.00106974,0.00106974
16,53.322,0.54574,0.76247,1.21008,0.9935,0.875,0.87812,0.75765,0.64055,1.13026,1.64366,0.00111074,0.00111074,0.00111074
17,56.3448,0.4383,0.6816,1.11295,0.99313,0.875,0.8768,0.79669,0.59379,0.72191,1.73522,0.00114778,0.00114778,0.00114778
18,59.3836,0.49657,0.67822,1.16378,0.99343,0.875,0.87864,0.77705,0.60651,0.79608,1.77247,0.00118085,0.00118085,0.00118085
19,62.633,0.42716,0.64498,1.1379,0.99328,0.875,0.915,0.84829,0.47498,0.72866,1.18001,0.00120997,0.00120997,0.00120997
20,65.745,0.41235,0.58877,1.08621,0.99351,0.875,0.8828,0.87749,0.3872,0.6132,0.88245,0.00123512,0.00123512,0.00123512
21,68.8981,0.44818,0.61655,1.12763,0.99357,0.875,0.89311,0.88058,0.37812,0.70458,0.86622,0.001208,0.001208,0.001208
22,71.7632,0.43249,0.59554,1.09668,0.99339,0.875,0.88833,0.88046,0.49166,0.80117,1.0067,0.0011684,0.0011684,0.0011684
23,74.69,0.44728,0.57052,1.11403,0.99315,0.875,0.88603,0.8577,0.53683,0.73941,1.06435,0.0011288,0.0011288,0.0011288
24,77.7277,0.44323,0.56013,1.11155,0.99347,0.875,0.90095,0.85858,0.37448,0.58226,0.90129,0.0010892,0.0010892,0.0010892
25,80.5327,0.38494,0.51966,1.08168,0.99345,0.875,0.93147,0.82144,0.46439,0.58982,1.20695,0.0010496,0.0010496,0.0010496
26,83.5397,0.40528,0.54469,1.08099,0.99352,0.875,0.939,0.81419,0.47792,0.59335,1.26061,0.00101,0.00101,0.00101
27,86.4238,0.42033,0.55266,1.1311,0.99362,0.875,0.94885,0.91203,0.33419,0.58894,0.79207,0.0009704,0.0009704,0.0009704
28,89.3514,0.39081,0.51794,1.05905,0.99352,0.875,0.94885,0.91203,0.36043,0.51629,0.81288,0.0009308,0.0009308,0.0009308
29,92.2258,0.363,0.5066,1.03165,0.99342,0.875,0.91864,0.87195,0.40959,0.5727,0.8879,0.0008912,0.0008912,0.0008912
30,95.1636,0.38101,0.495,1.03329,0.99307,0.875,0.90243,0.84345,0.49296,0.53453,1.00738,0.0008516,0.0008516,0.0008516
31,98.3496,0.35129,0.48542,1.02922,0.99293,0.875,0.89155,0.8599,0.47711,0.59878,0.96748,0.000812,0.000812,0.000812
32,101.46,0.35447,0.56999,1.05744,0.99277,0.875,0.887,0.82856,0.4359,0.54715,0.94709,0.0007724,0.0007724,0.0007724
33,104.407,0.32541,0.44097,1.01672,0.99342,0.875,0.88912,0.84468,0.43072,0.60677,0.9383,0.0007328,0.0007328,0.0007328
34,107.596,0.36891,0.47657,1.07442,0.99356,0.875,0.89,0.87806,0.47126,0.5991,0.98285,0.0006932,0.0006932,0.0006932
35,110.748,0.32517,0.46063,1.03183,0.99353,0.875,0.88075,0.85331,0.48265,0.60825,1.00959,0.0006536,0.0006536,0.0006536
36,113.838,0.32267,0.45423,1.04696,0.99345,0.875,0.881,0.87752,0.41056,0.55405,0.88031,0.000614,0.000614,0.000614
37,116.912,0.3284,0.44516,1.01969,0.99357,0.875,0.88521,0.87921,0.35132,0.52844,0.83398,0.0005744,0.0005744,0.0005744
38,119.78,0.32269,0.46392,1.0288,0.99361,0.875,0.88423,0.87882,0.35581,0.52438,0.85048,0.0005348,0.0005348,0.0005348
39,122.629,0.29927,0.4229,0.99306,0.99361,0.875,0.88543,0.88032,0.36229,0.49909,0.85423,0.0004952,0.0004952,0.0004952
40,125.775,0.29149,0.42117,0.98021,0.99353,0.875,0.88933,0.86682,0.36735,0.51211,0.87933,0.0004556,0.0004556,0.0004556
41,185.057,0.2623,1.10296,1.05152,0.99355,0.875,0.88852,0.88453,0.33332,0.48406,0.83414,0.000416,0.000416,0.000416
42,187.921,0.19285,0.80533,1.02314,0.99364,0.875,0.89155,0.88665,0.30432,0.50971,0.79776,0.0003764,0.0003764,0.0003764
43,190.643,0.19525,0.65529,1.00441,0.99357,0.875,0.891,0.88626,0.28656,0.60259,0.77778,0.0003368,0.0003368,0.0003368
44,193.58,0.18761,0.67116,0.99631,0.99352,0.875,0.88629,0.88297,0.33452,0.61129,0.82447,0.0002972,0.0002972,0.0002972
45,196.581,0.17086,0.62253,0.99832,0.99352,0.875,0.88567,0.88253,0.33819,0.6711,0.83071,0.0002576,0.0002576,0.0002576
46,199.692,0.19118,0.60871,0.98686,0.99353,0.875,0.88567,0.88149,0.32456,0.65367,0.81228,0.000218,0.000218,0.000218
47,203.001,0.15809,0.56315,0.99673,1,0.875,0.88731,0.88248,0.31217,0.60612,0.79644,0.0001784,0.0001784,0.0001784
48,206.04,0.14553,0.54092,0.98035,1,0.875,0.9134,0.88749,0.31615,0.56084,0.78698,0.0001388,0.0001388,0.0001388
49,208.994,0.16314,0.53151,0.93059,1,0.875,0.923,0.88845,0.32663,0.55586,0.79286,9.92e-05,9.92e-05,9.92e-05
50,211.845,0.14997,0.52674,1.00124,1,0.875,0.92553,0.88977,0.33627,0.56721,0.7996,5.96e-05,5.96e-05,5.96e-05
